"","artist","auction_year","auction_house","city","ID","exhibition","title","price","avg_estimate","dummy_signed","area","year_created","auction_lot","sale_rate_before","avg_price_sold_before","median_price_sold_before","num_artworks","avg_price_sold","median_price_sold","num_artists","sale_rate","img_url","volatility_before","volatility","skew_before","skew","medium","lots_per_artist","num_artworks_ratio","lot_position","caliber","artist_sale_rate","artist_volume","artist_num_sold","artist_avg_price","dummy_estimate_higher","artist_median_price_before","skew_before_type","price_increase_percent","total_publications","dummy_dead","recent_publications"
"1","Ad Reinhardt",2010,"Christie's New York, Rockefeller Center","New York","6d2d95fbeda547d9a2f8cb65f5769e7f","post-war and contemporary morning session 11/11/2010","Abstract Painting, Red",719357,688929,1,300,"1952",0.451038575667656,0.857142857142857,442173,314500,1,285360,158500,75,0.823529411764706,"http://www.askart.com/photos2/2014/CNY20101111_65809/152.jpg",294961.993761908,282892.124799483,0.932732566731448,2.29429979632816,"oil / canvas",4.49333333333333,0.0029673590504451,"2","Major",0.8,20,16,763749.9375,1,80472,"slightly positive",7.56110199821056,193,1,2
"2","Ad Reinhardt",2011,"Christie's New York, Rockefeller Center","New York","79f5a6cdfa0e4fad99351632e8be8bfb","post-war and contemporary morning session 05/12/2011","Abstract Painting",129527,38913,1,196,"1958",0.747169811320755,0.866666666666667,311377,170500,1,229986,116500,60,0.901639344262295,"http://www.askart.com/photos2/2014/CNY20110512_66941/198.jpg",293729.242002053,247577.64930196,1.86934382428166,2.5315418602106,"oil / canvas",4.41666666666667,0.00377358490566038,"3","Major",0.8,20,16,763749.9375,0,719357,"slightly positive",-0.945905857592266,193,1,2
"3","Ad Reinhardt",2014,"Sotheby's New York","New York","d35e99d829794df5b00888fd95ab16e7","contemporary art evening sale 05/14/2014","ABSTRACT PAINTING",1525984,1320055,1,2310,"1950",0.962962962962963,0.824324324324324,6084218,3525000,1,5886458,3301000,52,0.82051282051282,"http://www.askart.com/photos2/2014/SNY20140514_84353/78_1.jpg",6987949.01949487,6878059.61889643,2.23423937323174,2.30388162147241,"oil / canvas",1.55769230769231,0.0123456790123457,"4","Major",0.8,20,16,763749.9375,0,159349,"slightly positive",7.28404947630672,193,1,0
"4","Ad Reinhardt",2015,"Sotheby's New York","New York","6fd7a1c537954fcfa942b52e12ab70ae","contemporary art day auction 05/13/2015","ABSTRACT PAINTING, BLUE",644444,633879,1,480.4,"1954",0.272430668841762,0.863636363636364,555344,322000,1,345724,162500,195,0.78978978978979,"http://www.askart.com/photos/2015/SNY20150513_89743/167_1.jpg",621437.895605666,431925.426241528,2.09063119425581,2.87258657124359,"oil / canvas",3.14358974358974,0.00163132137030995,"2","Major",0.8,20,16,763749.9375,1,410575,"slightly positive",0.543881142300432,193,1,0
"5","Ad Reinhardt",2017,"Sotheby's New York","New York","6494ffeb263c421097c21726031cd909","contemporary art day auction 11/17/2017","ABSTRACT PAINTING",1176370,218978,1,309.375,"1952",0.31304347826087,0.95,399259,121875,2,345516,150000,200,0.873873873873874,"http://www.askart.com/Photos/2017/SNY20171117_108360/180_1.jpg",656689.053628679,534203.765750719,3.9724335304844,4.01376229490295,"oil / canvas",2.875,0.00347826086956522,"2","Major",0.8,20,16,763749.9375,0,732298,"very positive",-0.700971462437423,193,1,1
"6","Ad Reinhardt",2017,"Sotheby's New York","New York","260ce95c45274d6b8b73bac7d997d0ff","contemporary art day auction 11/17/2017","NO. 12",1176370,509251,1,1398.625,"1950",0.196521739130435,0.923076923076923,411093,287500,2,345516,150000,200,0.873873873873874,"http://www.askart.com/Photos/2017/SNY20171117_108360/113_1.jpg",304777.779360088,534203.765750719,0.922844936056693,4.01376229490295,"oil / canvas",2.875,0.00347826086956522,"1","Major",0.8,20,16,763749.9375,1,732298,"slightly positive",-0.304585018667264,193,1,1
"7","Ad Reinhardt",2018,"Sotheby's New York","New York","40df3a22c5e046c9bb0f3e99576a6089","contemporary art day auction 11/15/2018","ABSTRACT PAINTING",493418,498403,0,815.265,"1957",0.234767025089606,0.9,231997,1e+05,1,368516,225000,169,0.826498422712934,"http://www.askart.com/Photos/2018/SNY20181115_114525/131_1.jpg",307841.743865445,449085.902440238,2.44013032158617,3.1105659044659,"oil / canvas",3.30177514792899,0.0017921146953405,"1","Major",0.8,20,16,763749.9375,1,1176370,"very positive",-0.576321225464777,193,1,1
"8","Ad Reinhardt",2017,"Phillips London","London","9471ef7aa9ab497ba384af1fab4b4abd","20th century & contemporary art day sale 3/10/2017","Abstract Painting",56120,53780,1,200,"1955",0.483870967741935,0.8125,20344,8700,1,9592,5545,77,0.837209302325581,"http://www.askart.com/photos/2017/PPL20170310_102776/135_1.jpg",20798.9674868901,13239.8589861155,1.50470616875758,2.93707081769495,"oil / canvas",3.62337662337662,0.003584229390681,"2","Small",0.8,20,16,763749.9375,1,732298,"slightly positive",-0.926559952369117,193,1,1
"9","Ad Reinhardt",2015,"Sotheby's New York","New York","a07ab88b60ae4c22991b233920f29ab4","contemporary art day auction 11/12/2015","ABSTRACT PAINTING",1788956,529277,1,964.4569,"1958",0.287319422150883,0.836065573770492,742119,418000,2,389070,187500,160,0.768939393939394,"http://www.askart.com/photos/2015/SNY20151112_93142/179_1.jpg",829112.673991072,554183.110521368,2.13825831753546,3.3771485393841,"oil / canvas",3.89375,0.00321027287319422,"2","Major",0.8,20,16,763749.9375,0,410575,"slightly positive",0.28911161176399,193,1,0
"10","Ad Reinhardt",2014,"Sotheby's New York","New York","9ab0fc44e0b54d07936e2925c66051ce","contemporary curated 09/24/2014","UNTITLED",410575,263865,1,543.3525,"1958",0.0444444444444444,0.916666666666667,609122,106250,1,130348,43750,166,0.775784753363229,"http://www.askart.com/photos2/2014/SNY20140924_86077/16_1.jpg",998867.645043151,357510.040423171,2.07934330463547,7.20036066624964,"oil / canvas",2.16867469879518,0.00277777777777778,"1","Major",0.8,20,16,763749.9375,0,159349,"slightly positive",0.655893667359067,193,1,0
